ID,UICNumber,APINumber,PermittedIntervalTopFt,PermittedIntervalBottomFt,PermittedMaxLiquidBPD,StartDate,SurfaceHoleLatitude,SurfaceHoleLongitude,CompletedWellDepthClassification,WellName
681,22893,41503968,6200,8400,13000,11/3/1969,32.89796551,-100.920984,Deep,COGDELL CANYON REEF UNIT 6114
9914,12242,13506726,5000,5700,15000,5/26/1978,31.8342916,-102.2908289,Deep,"PARKS, ROY -B- TG 24W"
16337,12240,32901986,13000,13500,15000,5/25/1972,31.85647564,-102.2759979,Deep,"PARKS, ROY -B- TG 20W"
18150,13925,16500751,5300,7296,3000,10/2/1973,32.52577346,-102.3647968,Deep,BUTLER 4
18459,10722,31700024,4450,4800,20000,10/31/1980,32.48501157,-102.0367206,Deep,O'NEAL 1D
18761,10717,31731601,10910,12424,10000,4/29/1977,32.48874382,-102.0951786,Deep,"BREEDLOVE, F. D., -B- 24D"
23248,20111,32930266,4100,4510,5000,5/4/1976,32.036302,-101.851645,Deep,GREENWOOD SWD 1D
24545,17033,22703675,9892,9922,2000,5/24/1967,32.45654135,-101.4762974,Deep,SOUTHEAST LUTHER/FUSSELMAN/ UNIT 1001W
33242,51746,332062,8900,11400,5000,5/10/1984,32.15495928,-102.8934462,Deep,RATLIFF & BEDFORD 35D
2060,20046,17300368,3608,3893,1250,6/15/1967,31.75052362,-101.6982438,Deep,MEADORS 1D
3584,15177,13502347,5200,5530,6000,6/5/1963,31.97755353,-102.3902348,Deep,BARROW WIW 2
10267,22894,41503969,6200,8400,13000,11/3/1969,32.92736477,-100.9155289,Deep,COGDELL CANYON REEF UNIT 6115
10269,22897,41503975,5000,8400,13000,11/12/1969,32.9011493,-100.9160496,Deep,COGDELL CANYON REEF UNIT 6120
22336,15760,301016,12611,13837,25000,10/8/1964,32.40023594,-102.2880379,Deep,HUTEX S W D SYSTEM G12
24291,46611,11531471,4650,4982,5000,11/9/1981,32.8523052,-102.0257832,Deep,"WELCH, SE (SPRABERRY) UNIT 107W"
30087,45662,16530079,5100,6150,10000,12/17/1982,32.53763907,-102.5710347,Deep,"NORMAN A"""" 6D"
37627,58016,31732123,4200,5500,3300,4/3/1985,32.28231646,-102.0293229,Deep,MAYS 2D
38761,46212,31731528,4350,12130,9000,2/2/1982,32.35650004,-101.97162,Deep,TOM 2
61291,85693,31732916,4950,6295,8000,1/17/1997,32.45348352,-102.2043724,Deep,M.A.K SWD 4402
939,9588,38310328,3150,4000,6000,3/30/1970,31.568703,-101.540477,Deep,"CAUBLE, E.G.-A- 1"
3377,22054,30130034,5342,6492,10000,4/2/1980,31.70462556,-103.560284,Deep,MENTONE SWD 1D
13991,20183,31730078,3900,5000,5000,5/22/1977,32.30359092,-101.8630691,Deep,LENORAH 1D
14452,22795,26300433,4700,7200,13000,3/8/1972,32.99169654,-100.8616751,Deep,COGDELL CANYON REEF UNIT 1045
24760,39662,13506652,5032,5376,5000,9/24/1957,31.90743726,-102.3140584,Deep,HEADLEE DEVONIAN UNIT 63
30001,45228,22731166,3749,5641,5000,11/17/1981,32.4436102,-101.6332347,Deep,ALLRED SWD 1
35072,50386,31730538,4000,5500,6000,12/7/1983,32.133011,-102.041506,Deep,GLASS -E- 1D
37471,55987,50132868,11562,12500,40000,4/22/1985,33.02735303,-102.8319258,Deep,WILLARD UNIT 1WD
41490,56953,16533268,11935,13096,90000,7/8/1985,32.78314596,-102.7280376,Deep,SEMINOLE SAN ANDRES UNIT 1
47458,22831,41503904,4500,8400,13000,5/3/1968,32.92311917,-100.920706,Deep,COGDELL CANYON REEF UNIT 6036
47531,22924,41504027,6200,8400,13000,10/5/1955,32.91215225,-100.8941159,Deep,COGDELL CANYON REEF UNIT 6173
5294,19968,31700114,3800,12154,6000,5/14/1970,32.24150227,-101.9119152,Deep,SALE RANCH -D- 1D
11982,22913,41504013,5000,8400,13000,11/12/1969,32.91222404,-100.8981498,Deep,COGDELL CANYON REEF UNIT 6158
16192,9586,38320709,2700,3520,10000,1/12/1968,31.50750621,-101.4778015,Deep,BINGHAM SWD 1D
35962,56954,16533269,11975,13500,90000,7/8/1985,32.73112103,-102.6710962,Deep,SEMINOLE SAN ANDRES UNIT 2
36399,56250,18930114,5200,8000,18000,5/23/1985,33.835995,-102.014713,Deep,ANTON-IRISH CLEARFORK UNIT 317
37182,49927,50132488,10500,13000,50000,11/4/1983,32.98079824,-102.8043948,Deep,DENVER UNIT 1SD
50969,74786,31732928,6509,6539,4000,5/23/1991,32.23327044,-101.8292987,Deep,"SUPERIOR STRAIN -SWD-"" 1D"
55969,80189,307440,5200,6500,10000,7/28/1993,32.4430212,-102.3956426,Deep,STATE OF TEXAS -CJ- 6
57406,81492,13510010,3550,4650,1500,8/30/1994,31.80422123,-102.5844123,Deep,MOSS E 6D
60796,108661,38333104,5517,6686,15000,11/13/2013,31.31348622,-101.4525461,Deep,TEXACO 5
35832,64225,31731170,4400,5800,5000,10/9/1987,32.13768057,-102.0874244,Deep,GLASS -J- 2D
37272,54994,50132540,12399,13000,25000,6/1/1984,33.04921343,-102.7879079,Deep,"ODC A"""" 18"
42904,73541,16530094,5100,6050,10000,8/28/1990,32.53369402,-102.5694001,Deep,NORMAN D 4D
46912,23116,41502924,6300,8500,12000,2/14/1955,32.63293291,-101.1476746,Deep,SHARON RIDGE CANYON UNIT 4011W
48150,68130,22734107,3430,6059,12500,2/14/1989,32.43469844,-101.5992047,Deep,SON OF BIG BAD 1
53882,68327,31731480,4350,12200,6500,2/27/1989,32.36348778,-101.9733008,Deep,"PAT, K. 2"
55011,46500,47531589,4567,6308,20000,8/18/1983,31.62503711,-103.4256948,Deep,"PRUETT, T. B. ET AL 5D"
62074,86758,13537365,7330,7800,6000,9/12/1997,32.07204207,-102.5845023,Deep,HOLT W SWDW 1
64169,54883,21934308,11700,12600,10000,6/22/1984,33.40957348,-102.4652222,Deep,SLAUGHTER CONSOLIDATED 315
69308,72856,13535498,5590,5700,2500,2/15/1990,31.7759136,-102.4162848,Deep,MOSS -A- 1
69876,102986,310357,10481,12532,20000,12/17/2010,32.292195,-102.5794694,Deep,"J.E. PARKER F"""" 4"
70137,105869,17331984,3475,3690,14000,10/25/2012,31.72300906,-101.5551044,Deep,"THOMASON D"" SWD"" 1"
72148,113942,31740488,11000,14000,40000,6/17/2016,32.39041644,-101.9691894,Deep,HECKER 1D
64732,84368,22734375,8700,10800,5000,2/29/1996,32.27496346,-101.6291332,Deep,GUITAR ESTATE -B- 2D
65402,112680,32900423,10300,14000,10000,8/3/2015,31.77735115,-102.2458181,Deep,DORA ROBERTS RANCH UNIT 2103
67690,65274,333217,13385,14134,10000,10/23/1987,32.49682731,-102.3605675,Deep,UNIVERSITY 5-3 1D
70265,119379,30134491,5300,7700,40000,10/16/2019,31.997547,-103.381417,Deep,ROSS SWD 5
73606,86338,26331495,3900,5300,20000,6/30/1997,33.20187247,-100.9336946,Deep,JONES-O'DONNELL 1WD
74011,114884,31741017,12000,13550,50000,2/7/2017,32.2016549,-101.9964974,Deep,MCMORRIES 18 SWD 2D
74211,115144,22738978,10150,13000,30000,4/27/2017,32.28103932,-101.6796768,Deep,LIMEQUEST 6 SWD 1D
75010,91186,47534643,5020,6543,5000,7/23/2001,31.49843789,-102.7871815,Deep,WINTER 14-20 1
76197,114948,22739065,10340,11500,20000,2/24/2017,32.394402,-101.561671,Deep,87 AIRSTRIP SWD 1
78086,108925,23535360,8932,9940,40000,12/13/2013,31.13239808,-101.1627063,Deep,BARNHART 687 SWD 3
48528,64102,16533658,10490,12000,50000,9/9/1987,32.95337,-102.851914,Deep,DENVER UNIT 3SD
51057,75355,31733724,4392,5026,5000,8/16/1991,32.42089245,-101.7342483,Deep,"SHORTES, L. O. 1D"
