ID,UICNumber,APINumber,PermittedIntervalTopFt,PermittedIntervalBottomFt,PermittedMaxLiquidBPD,StartDate,SurfaceHoleLatitude,SurfaceHoleLongitude,CompletedWellDepthClassification,WellName
3584,15177,13502347,5200.0,5530.0,6000,1963-06-05,31.97757485,-102.3902467,Deep,BARROW WIW 2
10267,22894,41503969,6200.0,8400.0,13000,1969-11-03,32.92736477,-100.91552894,Deep,COGDELL CANYON REEF UNIT 6115
10269,22897,41503975,5000.0,8400.0,13000,1969-11-12,32.9011493,-100.91604956,Deep,COGDELL CANYON REEF UNIT 6120
22336,15760,301016,12611.0,13837.0,25000,1964-10-08,32.4002359,-102.2880379,Deep,HUTEX S W D SYSTEM G12
30087,45662,16530079,5100.0,6150.0,10000,1982-12-17,32.53763907,-102.57103467,Deep,"NORMAN ""A"" 6D"
37627,58016,31732123,4200.0,5500.0,3300,1985-04-03,32.28231646,-102.02932285,Deep,MAYS 2D
38761,46212,31731528,4350.0,12130.0,9000,1982-02-02,32.35650004,-101.97162001,Deep,TOM 2
681,22893,41503968,6200.0,8400.0,13000,1969-11-03,32.89796551,-100.920984,Deep,COGDELL CANYON REEF UNIT 6114
9914,12242,13506726,5000.0,5700.0,15000,1978-05-26,31.8342916,-102.29082885,Deep,"PARKS, ROY -B- TG 24W"
16337,12240,32901986,13000.0,13500.0,15000,1972-05-25,31.85647564,-102.27599792,Deep,"PARKS, ROY -B- TG 20W"
18150,13925,16500751,5300.0,7296.0,3000,1973-10-02,32.52577346,-102.36479675,Deep,BUTLER 4
18459,10722,31700024,4450.0,4800.0,20000,1980-10-31,32.484983,-102.036714,Deep,O'NEAL 1D
18761,10717,31731601,10910.0,12424.0,10000,1977-04-29,32.48874382,-102.09517858,Deep,"BREEDLOVE, F. D., -B- 24D"
24545,17033,22703675,9892.0,9922.0,2000,1967-05-24,32.45654135,-101.47629742,Deep,SOUTHEAST LUTHER/FUSSELMAN/ UNIT 1001W
939,9588,38310328,3150.0,4000.0,6000,1970-03-30,31.56851,-101.540477,Deep,"CAUBLE, E.G.-A- 1"
