ID,UICNumber,APINumber,PermittedIntervalTopFt,PermittedIntervalBottomFt,PermittedMaxLiquidBPD,StartDate,SurfaceHoleLatitude,SurfaceHoleLongitude,CompletedWellDepthClassification,WellName
58,18807,330455,4697.0,4828.0,0,1956-07-23,32.20369161,-102.42480299,Shallow,MIDLAND FARMS NO GRBY UT 54W
2060,20046,17300368,3608.0,3893.0,1250,1967-06-15,31.75052362,-101.69824379,Shallow,MEADORS 1D
13844,10284,38310832,3316.0,4800.0,5000,1974-08-07,31.603993,-101.541799,Shallow,MERCHANT ESTATE -14- 2D
13912,20023,31730373,4200.0,5527.0,700,1971-11-09,32.29774847,-101.95993524,Shallow,"HOWARD, VIVIAN 1WD"
22369,18803,310195,4750.0,4830.0,1000,1956-07-23,32.18481163,-102.41565468,Shallow,MIDLAND FARMS NO GRBY UT 45W
24291,46611,11531471,4650.0,4982.0,5000,1981-11-09,32.8523052,-102.0257832,Shallow,"WELCH, SE (SPRABERRY) UNIT 107W"
37023,45155,31732534,4000.0,5500.0,6000,1982-09-08,32.09610942,-102.05447629,Shallow,STIMSON BURLEY -D- 1D
2926,18804,330291,4764.0,4855.0,0,1956-07-23,32.1926435,-102.41418261,Shallow,MIDLAND FARMS NO GRBY UT 47W
3480,10291,38301327,3250.0,3700.0,15000,1962-06-22,31.44561847,-101.57620859,Shallow,"GUNTER SWD ""A' 1D"
5827,10705,10303053,2912.0,4006.0,3000,1960-11-10,31.45895451,-102.44847128,Shallow,BLOCK 31 UNIT K3
13036,18802,304283,4773.0,4848.0,0,1956-07-23,32.18203819,-102.42776899,Shallow,MIDLAND FARMS NO GRBY UT 42W
13713,18814,330452,4121.0,4826.0,0,1956-07-23,32.19337351,-102.42123025,Shallow,MIDLAND FARMS NO GRBY UT 61W
13847,10316,38300414,3370.0,3410.0,800,1977-01-27,31.40137899,-101.58523498,Shallow,"PETTIT, J. B. 1D"
23248,20111,32930266,4100.0,4510.0,5000,1976-05-04,32.036302,-101.851645,Shallow,GREENWOOD SWD 1D
13064,18813,330453,4730.0,4845.0,0,1956-07-23,32.19245496,-102.42458093,Shallow,MIDLAND FARMS NO GRBY UT 60W
15752,11720,13530571,5300.0,5900.0,8000,1971-09-29,31.9586976,-102.4744459,Shallow,RHODES 3WD
26684,18790,303637,4750.0,4864.0,800,1956-07-06,32.21178447,-102.42905148,Shallow,MIDLAND FARMS NO GRBY UT 1W
2121,18808,330440,4711.0,4830.0,2472,1956-07-23,32.2002348,-102.42772205,Shallow,MIDLAND FARMS NO GRBY UT 55W
3743,17306,304632,5100.0,7300.0,5000,1970-06-08,32.43489414,-102.39790994,Shallow,UNIVERSITY -30- 1HH
5295,19972,31730311,3900.0,4747.0,6000,1971-02-22,32.31125603,-101.8951001,Shallow,"FOREMAN, MAYME A SWD 1D"
7369,18806,330456,4703.0,4807.0,0,1956-07-23,32.202673,-102.428695,Shallow,MIDLAND FARMS NO GRBY UT 53W
36029,58305,38333015,3000.0,4000.0,20000,1985-01-21,31.42146674,-101.57940021,Shallow,STILES SWD 1D
53002,39976,38331767,3068.0,3660.0,6000,1981-03-24,31.4900837,-101.6006201,Shallow,STOUT 1D
61291,85693,31732916,4950.0,6295.0,8000,1997-01-17,32.45348352,-102.20437237,Shallow,M.A.K SWD 4402
64832,97001,22735046,2714.0,3122.0,8000,2006-12-04,32.35124628,-101.5778856,Shallow,LLOYD SWD 2
65401,112669,31740207,4300.0,5800.0,30000,2015-07-29,32.173184,-101.978843,Shallow,NAIL SWD 1
65518,105699,38933212,5450.0,6850.0,15000,2012-09-18,31.21802836,-103.33100135,Shallow,PECOS SOUTHEAST SWD 1
67507,108050,38933713,3800.0,6000.0,50000,2013-08-30,31.63277783,-103.79691102,Shallow,APACHE STATE 55 401
69963,109939,38338684,3300.0,4600.0,10000,2014-04-30,31.56341415,-101.61902539,Shallow,MERCHANT 1401WD
70064,105491,13541898,4700.0,5800.0,10000,2012-08-07,31.70008348,-102.35492358,Shallow,"LUPIN TXL FEE ""B"" SWD 1SW"
70081,105567,31737381,4200.0,5700.0,20000,2012-08-22,32.39087394,-102.02385799,Shallow,JONES-HOLTON SWD 2WD
48610,64608,38931699,5221.0,5241.0,500,1987-11-10,31.15861491,-103.24296649,Shallow,"CHAPARRAL ""B"" 1"
55714,89632,32934247,5900.0,6400.0,30000,2000-02-08,31.944541,-102.116969,Shallow,MIDLAND SW 1D
