InjectionWellId,UICNumber,APINumber,PermittedIntervalTopFt,PermittedIntervalBottomFt,PermittedMaxLiquidBPD,StartDate,SurfaceHoleLatitude,SurfaceHoleLongitude,CompletedWellDepthClassification,WellName
63202,103600,32902024.0,6420.0,13391.0,20000.0,2011-08-18,31.7408469,-102.20797813,Deep,"SANDERS, JUNE T. 3"
65483,113055,22738574.0,9607.0,10700.0,20000.0,2015-10-20,32.3950326,-101.4835524,Deep,TATE -D- 3
68221,110802,22734916.0,8570.0,8732.0,25000.0,2014-09-08,32.48653208,-101.58589257,Deep,MIDDLETON 38 1
15,12160,303566.0,7895.0,8100.0,1600.0,1991-02-12,32.140251,-103.049851,Deep,DOLLARHIDE UNIT 435D
16,12165,304834.0,7628.0,7796.0,1000.0,1959-04-13,32.16915653,-103.03265582,Deep,DOLLARHIDE UNIT 463D
5294,19968,31700114.0,3800.0,12154.0,6000.0,1970-05-14,32.24150227,-101.91191522,Deep,SALE RANCH -D- 1D
66180,115975,31741203.0,12380.0,13965.0,30000.0,2018-01-31,32.46735558,-102.14822333,Deep,GOLDEN TORNADOES SWD 1
71127,113312,31740335.0,12000.0,14500.0,30000.0,2016-01-04,32.12796904,-102.01828871,Deep,"NAIL RANCH 36"""" 1D"
71910,84727,31732856.0,4400.0,12200.0,9000.0,1996-04-30,32.3639066,-101.9689763,Deep,"PAT, K. 3"
16337,12240,32901986.0,13000.0,13500.0,15000.0,1972-05-25,31.85647564,-102.27599792,Deep,"PARKS, ROY -B- TG 20W"
18761,10717,31731601.0,10910.0,12424.0,10000.0,1977-04-29,32.48874382,-102.09517858,Deep,"BREEDLOVE, F. D., -B- 24D"
24545,17033,22703675.0,9892.0,9922.0,2000.0,1967-05-24,32.45654135,-101.47629742,Deep,SOUTHEAST LUTHER/FUSSELMAN/ UNIT 1001W
53882,68327,31731480.0,4350.0,12200.0,6500.0,1989-02-27,32.36348778,-101.97330081,Deep,"PAT, K. 2"
72148,113942,31740488.0,11000.0,14000.0,40000.0,2016-06-17,32.39041644,-101.96918938,Deep,HECKER 1D
75226,118973,31742511.0,11500.0,14000.0,50000.0,2019-07-31,32.26548,-102.017452,Deep,SUNFLOWER SWD 1
76328,67372,22734245.0,9700.0,10277.0,10000.0,1988-10-04,32.3912777,-101.48383312,Deep,TALBOT 3D
69968,109990,15100308.0,7000.0,7500.0,5000.0,2014-05-07,32.74441705,-100.63076888,Deep,GORDON A 1R
70947,99289,306772.0,4800.0,15200.0,30000.0,2008-07-22,32.15673223,-102.29110317,Deep,"DAVID FASKEN O"""" 1"
73319,117564,31739041.0,12700.0,15000.0,10000.0,2019-01-06,32.198144,-102.144121,Deep,MABEE SWD 1
73360,117974,3332446.0,8300.0,10216.0,20000.0,2019-03-18,32.537097,-101.415206,Deep,GUNSIGHT 1D
75000,97528,3331474.0,9750.0,10000.0,10000.0,2007-05-03,32.61230645,-101.54725403,Deep,"JOHNSON, W. D. 11D"
