Distance,d,Years Before Earthquake,Diffusivity
39.814221765315516,0.1,-40.0,Minimum
39.77430774849962,0.1,-39.91983967935872,Minimum
39.7343536372116,0.1,-39.83967935871743,Minimum
39.694359310380925,0.1,-39.75951903807615,Minimum
39.65432464632652,0.1,-39.67935871743487,Minimum
39.61424952275245,0.1,-39.59919839679359,Minimum
39.57413381674357,0.1,-39.519038076152306,Minimum
39.53397740476109,0.1,-39.43887775551102,Minimum
39.493780162638195,0.1,-39.35871743486974,Minimum
39.45354196557551,0.1,-39.278557114228455,Minimum
39.41326268813662,0.1,-39.19839679358717,Minimum
39.37294220424346,0.1,-39.118236472945895,Minimum
39.332580387171774,0.1,-39.03807615230461,Minimum
39.292177109546415,0.1,-38.95791583166333,Minimum
39.25173224333669,0.1,-38.877755511022045,Minimum
39.21124565985159,0.1,-38.79759519038076,Minimum
39.170717229735075,0.1,-38.71743486973948,Minimum
39.13014682296117,0.1,-38.637274549098194,Minimum
39.089534308829165,0.1,-38.55711422845691,Minimum
39.04887955595866,0.1,-38.476953907815634,Minimum
39.00818243228464,0.1,-38.39679358717435,Minimum
38.96744280505244,0.1,-38.31663326653307,Minimum
38.92666054081273,0.1,-38.236472945891784,Minimum
38.88583550541638,0.1,-38.1563126252505,Minimum
38.84496756400931,0.1,-38.07615230460922,Minimum
38.80405658102731,0.1,-37.99599198396793,Minimum
38.76310242019081,0.1,-37.91583166332666,Minimum
38.72210494449955,0.1,-37.83567134268537,Minimum
38.681064016227246,0.1,-37.75551102204409,Minimum
38.6399794969162,0.1,-37.675350701402806,Minimum
38.598851247371826,0.1,-37.59519038076152,Minimum
38.5576791276572,0.1,-37.51503006012024,Minimum
38.51646299708743,0.1,-37.434869739478955,Minimum
38.475202714224125,0.1,-37.35470941883767,Minimum
38.433898136869665,0.1,-37.274549098196395,Minimum
38.392549122061524,0.1,-37.19438877755511,Minimum
38.3511555260665,0.1,-37.11422845691383,Minimum
38.309717204374856,0.1,-37.034068136272545,Minimum
38.26823401169446,0.1,-36.95390781563126,Minimum
38.22670580194484,0.1,-36.87374749498998,Minimum
38.185132428251144,0.1,-36.7935871743487,Minimum
38.143513742938126,0.1,-36.71342685370742,Minimum
38.10184959752406,0.1,-36.633266533066134,Minimum
38.06013984271442,0.1,-36.55310621242485,Minimum
38.0183843283958,0.1,-36.47294589178357,Minimum
37.97658290362952,0.1,-36.392785571142284,Minimum
37.934735416645246,0.1,-36.312625250501,Minimum
37.89284171483466,0.1,-36.23246492985972,Minimum
37.85090164474483,0.1,-36.15230460921844,Minimum
37.80891505207179,0.1,-36.07214428857716,Minimum
37.76688178165381,0.1,-35.99198396793587,Minimum
37.72480167746477,0.1,-35.91182364729459,Minimum
37.682674582607355,0.1,-35.831663326653306,Minimum
37.64050033930628,0.1,-35.75150300601202,Minimum
37.598278788901354,0.1,-35.67134268537074,Minimum
37.556009771840564,0.1,-35.59118236472946,Minimum
37.51369312767296,0.1,-35.51102204408818,Minimum
37.47132869504164,0.1,-35.430861723446895,Minimum
37.428916311676524,0.1,-35.35070140280561,Minimum
37.386455814387105,0.1,-35.27054108216433,Minimum
37.34394703905511,0.1,-35.190380761523045,Minimum
37.30138982062715,0.1,-35.11022044088176,Minimum
37.25878399310719,0.1,-35.03006012024048,Minimum
37.216129389549025,0.1,-34.9498997995992,Minimum
37.173425842048616,0.1,-34.86973947895792,Minimum
37.13067318173645,0.1,-34.789579158316634,Minimum
37.08787123876964,0.1,-34.70941883767535,Minimum
37.045019842324145,0.1,-34.62925851703407,Minimum
37.002118820586794,0.1,-34.549098196392784,Minimum
36.95916800074722,0.1,-34.4689378757515,Minimum
36.91616720898976,0.1,-34.388777555110224,Minimum
36.87311627048526,0.1,-34.30861723446894,Minimum
36.83001500938275,0.1,-34.22845691382766,Minimum
36.78686324880109,0.1,-34.14829659318637,Minimum
36.7436608108205,0.1,-34.06813627254509,Minimum
36.70040751647399,0.1,-33.987975951903806,Minimum
36.657103185738684,0.1,-33.90781563126252,Minimum
36.61374763752719,0.1,-33.82765531062124,Minimum
36.570340689678595,0.1,-33.74749498997996,Minimum
36.52688215894967,0.1,-33.66733466933868,Minimum
36.48337186100579,0.1,-33.587174348697395,Minimum
36.43980961041184,0.1,-33.50701402805611,Minimum
36.39619522062295,0.1,-33.42685370741483,Minimum
36.352528503975215,0.1,-33.346693386773545,Minimum
36.30880927167627,0.1,-33.26653306613227,Minimum
36.26503733379573,0.1,-33.186372745490985,Minimum
36.22121249925563,0.1,-33.1062124248497,Minimum
36.177334575820616,0.1,-33.02605210420842,Minimum
36.133403370088175,0.1,-32.945891783567134,Minimum
36.089418687478656,0.1,-32.86573146292585,Minimum
36.0453803322252,0.1,-32.78557114228457,Minimum
36.00128810736362,0.1,-32.705410821643284,Minimum
35.957141814722085,0.1,-32.62525050100201,Minimum
35.91294125491073,0.1,-32.545090180360724,Minimum
35.86868622731119,0.1,-32.46492985971944,Minimum
35.8243765300659,0.1,-32.38476953907816,Minimum
35.78001196006746,0.1,-32.30460921843687,Minimum
35.73559231294767,0.1,-32.22444889779559,Minimum
35.6911173830666,0.1,-32.144288577154306,Minimum
35.646586963501456,0.1,-32.06412825651303,Minimum
35.60200084603541,0.1,-31.983967935871746,Minimum
35.55735882114614,0.1,-31.903807615230463,Minimum
35.51266067799445,0.1,-31.82364729458918,Minimum
35.46790620441256,0.1,-31.743486973947896,Minimum
35.42309518689242,0.1,-31.663326653306612,Minimum
35.378227410573786,0.1,-31.58316633266533,Minimum
35.333302659232245,0.1,-31.50300601202405,Minimum
35.288320715267,0.1,-31.42284569138277,Minimum
35.24328135968863,0.1,-31.342685370741485,Minimum
35.19818437210661,0.1,-31.2625250501002,Minimum
35.15302953071676,0.1,-31.182364729458918,Minimum
35.10781661228846,0.1,-31.102204408817634,Minimum
35.062545392151875,0.1,-31.02204408817635,Minimum
35.01721564418487,0.1,-30.94188376753507,Minimum
34.97182714079976,0.1,-30.861723446893787,Minimum
34.926379652930144,0.1,-30.781563126252507,Minimum
34.88087295001728,0.1,-30.701402805611224,Minimum
34.83530679999647,0.1,-30.62124248496994,Minimum
34.789680969283324,0.1,-30.541082164328657,Minimum
34.743995222759686,0.1,-30.460921843687373,Minimum
